year,product_hs,product,partner_code,partner_name,tons,value_usd
2022,252310,clinker,703,703,10500.0,807204
2022,252310,clinker,360,360,10.416,1470
2022,252310,clinker,591,591,55000.0,2860000
2022,252310,clinker,480,480,0.008,5
2022,252310,clinker,579,579,0.006,57
2022,252310,clinker,204,Benin,195900.0,9252030
2022,252310,clinker,300,300,115095.0,5570710
2022,252310,clinker,276,276,60559.295,2460618
2022,252310,clinker,450,450,0.001,6
2022,252310,clinker,705,705,0.003,43
2022,252310,clinker,699,699,0.003,45
2022,252310,clinker,226,226,32500.0,1805500
2022,252310,clinker,478,Mauritania,34500.0,1470500
2022,252310,clinker,288,Ghana,631096.3,26608612
2022,252310,clinker,76,76,42290.003,2114549
2022,252310,clinker,710,710,0.011,24
2022,252310,clinker,196,196,241200.0,11549979
2022,252310,clinker,558,558,0.005,12
2022,252310,clinker,682,682,0.005,68
2022,252310,clinker,554,554,0.019,131
2022,252310,clinker,768,Togo,117305.0,6350127
2022,252310,clinker,266,266,20315.0,853230
2022,252310,clinker,270,Gambia,34532.0,1381280
2022,252310,clinker,324,Guinea,266025.0,12541644
2022,252310,clinker,170,Colombia,141150.003,6199467
2022,252310,clinker,484,484,0.011,329
2022,252310,clinker,203,203,5.443,231
2022,252310,clinker,616,616,0.093,279
2022,252310,clinker,380,380,419595.027,24217585
2022,252310,clinker,31,31,1.863,76
2022,252310,clinker,332,Haiti,55000.0,2213750
2022,252310,clinker,328,328,0.052,5
2022,252310,clinker,32,32,8.373,397
2022,252310,clinker,214,DominicanRep,690689.033,30899370
2022,252310,clinker,807,807,48000.0,2304000
2022,252310,clinker,414,414,0.027,506
2022,252310,clinker,784,784,44650.004,2009262
2022,252310,clinker,152,152,7.645,903
2022,252310,clinker,860,860,3.939,130
2022,252310,clinker,251,251,400462.204,19642610
2022,252310,clinker,156,156,0.014,67
2022,252310,clinker,634,634,0.006,39
2022,252310,clinker,764,764,0.002,17
2022,252310,clinker,422,422,0.002,2
